Date,Close
1/2/2019,60.360001
1/3/2019,60.200001
1/4/2019,61.209999
1/7/2019,62.380001
1/8/2019,64.019997
1/9/2019,64.110001
1/10/2019,65.029999
1/11/2019,65.139999
1/14/2019,64.019997
1/15/2019,64.43
1/16/2019,65.169998
1/17/2019,65.379997
1/18/2019,66.389999
1/22/2019,66.07
1/23/2019,65.629997
1/24/2019,65.730003
1/25/2019,66.199997
1/28/2019,67.129997
1/29/2019,67.720001
1/30/2019,68.75
1/31/2019,69.910004
2/1/2019,69.559998
2/4/2019,70.209999
2/5/2019,70.5
2/6/2019,69.760002
2/7/2019,69.849998
2/8/2019,69.900002
2/11/2019,70.07
2/12/2019,68.599998
2/13/2019,68.889999
2/14/2019,68.269997
2/15/2019,68.800003
2/19/2019,68.790001
2/20/2019,67.980003
2/21/2019,68.419998
2/22/2019,68.889999
2/25/2019,68.25
2/26/2019,67.580002
2/27/2019,66.879997
2/28/2019,67.309998
3/1/2019,66.830002
3/4/2019,67.589996
3/5/2019,67.889999
3/6/2019,67.980003
3/7/2019,67.589996
3/8/2019,67.639999
3/11/2019,68.550003
3/12/2019,69.120003
3/13/2019,69.080002
3/14/2019,68.459999
3/15/2019,67.290001
3/18/2019,66.82
3/19/2019,66.57
3/20/2019,66.540001
3/21/2019,67.559998
3/22/2019,66.82
3/25/2019,66.489998
3/26/2019,67.220001
3/27/2019,66.760002
3/28/2019,67.519997
3/29/2019,67.440002
4/1/2019,67.620003
4/2/2019,68.580002
4/3/2019,68.849998
4/4/2019,69.160004
4/5/2019,69.57
4/8/2019,68.559998
4/9/2019,67.849998
4/10/2019,67.889999
4/11/2019,67.75
4/12/2019,68.339996
4/15/2019,67.910004
4/16/2019,66.529999
4/17/2019,66.209999
4/18/2019,67.010002
4/22/2019,68.019997
4/23/2019,69.730003
4/24/2019,69.82
4/25/2019,69.309998
4/26/2019,69.849998
4/29/2019,68.699997
4/30/2019,69.139999
5/1/2019,69.160004
5/2/2019,67.959999
5/3/2019,67.290001
5/6/2019,67.089996
5/7/2019,66.620003
5/8/2019,66
5/9/2019,66.260002
5/10/2019,66.699997
5/13/2019,66.089996
5/14/2019,66.339996
5/15/2019,66.739998
5/16/2019,67.059998
5/17/2019,66.989998
5/20/2019,66.019997
5/21/2019,66.519997
5/22/2019,67.169998
5/23/2019,67.190002
5/24/2019,67.68
5/28/2019,67.349998
5/29/2019,66.410004
5/30/2019,66.449997
5/31/2019,66.230003
6/3/2019,66.610001
6/4/2019,66.5
6/5/2019,68.089996
6/6/2019,68.18
6/7/2019,68.370003
6/10/2019,67.400002
6/11/2019,66.690002
6/12/2019,66.730003
6/13/2019,66.830002
6/14/2019,66.199997
6/17/2019,67.25
6/18/2019,66.769997
6/19/2019,67.110001
6/20/2019,67.519997
6/21/2019,66.769997
6/24/2019,65.610001
6/25/2019,64.559998
6/26/2019,63.119999
6/27/2019,63.68
6/28/2019,64.099998
7/1/2019,64.220001
7/2/2019,65.150002
7/3/2019,65.5
7/5/2019,65.519997
7/8/2019,65.660004
7/9/2019,66.010002
7/10/2019,66.300003
7/11/2019,65.480003
7/12/2019,65.599998
7/15/2019,65.519997
7/16/2019,65.489998
7/17/2019,65.050003
