Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,74.080002,74.180000,72.930000,73.320000,68.971664,14797200
2019-01-03,73.320000,74.900002,73.180000,73.790001,69.413780,10602800
2019-01-04,74.269997,75.290001,73.900002,74.580002,70.156937,10159500
2019-01-07,74.900002,75.889999,74.599998,75.330002,70.862473,16536000
2019-01-08,75.779999,76.910004,75.529999,76.699997,72.151192,13641700
2019-01-09,76.809998,76.980003,75.910004,76.599998,72.057129,7852400
2019-01-10,76.410004,77.830002,76.250000,77.660004,73.054276,6851300
2019-01-11,77.599998,77.970001,77.209999,77.930000,73.308266,11308300
2019-01-14,77.730003,78.129997,77.349998,77.680000,73.073082,4450900
2019-01-15,77.769997,78.589996,77.739998,78.449997,73.797417,9190300
2019-01-16,78.379997,79.199997,78.269997,78.940002,74.258362,5954900
2019-01-17,78.860001,79.360001,78.779999,79.360001,74.653458,4806400
2019-01-18,79.599998,79.660004,79.029999,79.660004,74.935677,6722600
2019-01-22,79.510002,79.699997,78.769997,79.430000,74.719307,8530800
2019-01-23,79.449997,79.610001,78.910004,79.430000,74.719307,5900400
2019-01-24,79.330002,79.860001,78.919998,79.709999,74.982697,5541900
2019-01-25,79.959999,80.690002,79.669998,80.639999,75.857544,5070400
2019-01-28,80.459999,81.470001,80.250000,81.370003,76.544243,9187600
2019-01-29,81.349998,82.050003,81.160004,82.019997,77.155693,6891100
2019-01-30,82.110001,82.959999,81.900002,82.669998,77.767143,13720500
2019-01-31,82.629997,83.559998,81.930000,83.540001,78.585556,11413400
2019-02-01,83.500000,83.800003,81.860001,82.970001,78.049362,22702800
2019-02-04,83.400002,83.570000,82.300003,83.529999,78.576141,10299400
2019-02-05,83.620003,84.070000,83.129997,84.040001,79.055908,13279100
2019-02-06,83.879997,83.900002,83.220001,83.459999,78.510300,9819000
2019-02-07,83.220001,84.220001,82.980003,84.099998,79.112335,11887100
2019-02-08,83.879997,84.419998,83.650002,84.120003,79.131157,5007400
2019-02-11,84.089996,84.480003,83.970001,84.360001,79.356926,9950400
2019-02-12,84.279999,84.449997,83.570000,83.870003,78.895981,7465100
2019-02-13,83.470001,84.330002,83.449997,84.260002,79.262856,5129300
2019-02-14,84.419998,84.800003,84.019997,84.529999,79.516846,6725200
2019-02-15,84.610001,85.059998,84.519997,85.050003,80.006004,8649100
2019-02-19,84.820000,85.190002,84.709999,85.070000,80.024818,8170800
2019-02-20,84.860001,84.910004,83.870003,84.470001,79.460403,10041500
2019-02-21,84.050003,84.610001,83.720001,84.540001,79.526237,7637000
2019-02-22,84.639999,85.330002,84.440002,84.989998,79.949570,4662100
