Date,Close
1/2/2019,233.360001
1/3/2019,226.720001
1/4/2019,234.279999
1/7/2019,235.360001
1/8/2019,237.919998
1/9/2019,238.919998
1/10/2019,240
1/11/2019,239.880005
1/14/2019,238.940002
1/15/2019,240.639999
1/16/2019,241.860001
1/17/2019,243.800003
1/18/2019,247.050003
1/22/2019,244
1/23/2019,245.720001
1/24/2019,245.470001
1/25/2019,247.389999
1/28/2019,245.100006
1/29/2019,245.710007
1/30/2019,250.179993
1/31/2019,250.119995
2/1/2019,250.479996
2/4/2019,252.320007
2/5/2019,253.960007
2/6/2019,253.869995
2/7/2019,251.899994
2/8/2019,251.320007
2/11/2019,250.940002
2/12/2019,254.529999
2/13/2019,255.800003
2/14/2019,255.160004
2/15/2019,258.649994
2/19/2019,258.809998
2/20/2019,259.5
2/21/2019,258.529999
2/22/2019,260.170013
2/25/2019,260.890015
2/26/2019,260.540009
2/27/2019,259.869995
2/28/2019,259.279999
3/1/2019,260.420013
3/4/2019,258.279999
3/5/2019,258.190002
3/6/2019,256.869995
3/7/2019,254.809998
3/8/2019,254.710007
3/11/2019,256.76001
3/12/2019,255.860001
3/13/2019,257.350006
3/14/2019,257.540009
3/15/2019,258.339996
3/18/2019,258.98999
3/19/2019,258.880005
3/20/2019,257.290009
3/21/2019,259.579987
3/22/2019,254.960007
3/25/2019,255.070007
3/26/2019,256.459991
3/27/2019,256.109985
3/28/2019,257.079987
3/29/2019,259.130005
4/1/2019,262.390015
4/2/2019,261.690002
4/3/2019,262
4/4/2019,263.779999
4/5/2019,264.160004
4/8/2019,263.220001
4/9/2019,261.51001
4/10/2019,261.600006
4/11/2019,261.399994
4/12/2019,264.070007
4/15/2019,263.809998
4/16/2019,264.529999
4/17/2019,264.529999
4/18/2019,265.559998
4/22/2019,265.070007
4/23/2019,266.480011
4/24/2019,265.920013
4/25/2019,264.529999
4/26/2019,265.339996
4/29/2019,265.440002
4/30/2019,265.790009
5/1/2019,264.149994
5/2/2019,262.880005
5/3/2019,264.970001
5/6/2019,264.269989
5/7/2019,259.519989
5/8/2019,259.660004
